Subdivision,Year,Month,Rainfall_mm
Andaman & Nicobar Islands,1934,8,924.900
Andaman & Nicobar Islands,1934,9,761.100
Andaman & Nicobar Islands,1934,10,338.100
Andaman & Nicobar Islands,1934,11,240.200
Andaman & Nicobar Islands,1934,12,46.100
Andaman & Nicobar Islands,1935,1,6.600
Andaman & Nicobar Islands,1935,2,0.000
Andaman & Nicobar Islands,1935,3,0.500
Andaman & Nicobar Islands,1935,4,133.600
Andaman & Nicobar Islands,1935,5,726.800
Andaman & Nicobar Islands,1935,6,374.100
Andaman & Nicobar Islands,1935,7,368.700
Andaman & Nicobar Islands,1935,8,411.600
Andaman & Nicobar Islands,1935,9,578.900
Andaman & Nicobar Islands,1935,10,182.400
Andaman & Nicobar Islands,1935,11,275.400
Andaman & Nicobar Islands,1935,12,95.400
Andaman & Nicobar Islands,1936,1,16.500
Andaman & Nicobar Islands,1936,2,15.300
Andaman & Nicobar Islands,1936,3,116.500
Andaman & Nicobar Islands,1936,4,43.082
Andaman & Nicobar Islands,1936,5,194.300
Andaman & Nicobar Islands,1936,6,498.300
Andaman & Nicobar Islands,1936,7,664.800
Andaman & Nicobar Islands,1936,8,562.900
Andaman & Nicobar Islands,1936,9,383.800
Andaman & Nicobar Islands,1936,10,174.900
Andaman & Nicobar Islands,1936,11,199.200
Andaman & Nicobar Islands,1936,12,212.200
Andaman & Nicobar Islands,1937,1,21.600
Andaman & Nicobar Islands,1937,2,10.700
Andaman & Nicobar Islands,1937,3,0.000
Andaman & Nicobar Islands,1937,4,112.000
Andaman & Nicobar Islands,1937,5,330.500
Andaman & Nicobar Islands,1937,6,732.800
Andaman & Nicobar Islands,1937,7,449.500
Andaman & Nicobar Islands,1937,8,332.000
Andaman & Nicobar Islands,1937,9,349.500
Andaman & Nicobar Islands,1937,10,383.300
Andaman & Nicobar Islands,1937,11,251.700
Andaman & Nicobar Islands,1937,12,617.500
Andaman & Nicobar Islands,1938,1,13.400
Andaman & Nicobar Islands,1938,2,57.200
Andaman & Nicobar Islands,1938,3,50.500
Andaman & Nicobar Islands,1938,4,101.600
Andaman & Nicobar Islands,1938,5,368.900
Andaman & Nicobar Islands,1938,6,668.600
Andaman & Nicobar Islands,1938,7,318.200
Andaman & Nicobar Islands,1938,8,397.100
Andaman & Nicobar Islands,1938,9,546.700
Andaman & Nicobar Islands,1938,10,318.400
Andaman & Nicobar Islands,1938,11,316.300
Andaman & Nicobar Islands,1938,12,107.500
Andaman & Nicobar Islands,1939,1,54.100
Andaman & Nicobar Islands,1939,2,1.500
Andaman & Nicobar Islands,1939,3,16.100
Andaman & Nicobar Islands,1939,4,77.300
Andaman & Nicobar Islands,1939,5,480.500
Andaman & Nicobar Islands,1939,6,541.000
Andaman & Nicobar Islands,1939,7,335.600
Andaman & Nicobar Islands,1939,8,202.800
Andaman & Nicobar Islands,1939,9,512.500
Andaman & Nicobar Islands,1939,10,263.900
Andaman & Nicobar Islands,1939,11,165.900
Andaman & Nicobar Islands,1939,12,131.300
Andaman & Nicobar Islands,1940,1,0.500
Andaman & Nicobar Islands,1940,2,2.800
Andaman & Nicobar Islands,1940,3,59.400
Andaman & Nicobar Islands,1940,4,0.000
Andaman & Nicobar Islands,1940,5,320.700
Andaman & Nicobar Islands,1940,6,335.400
Andaman & Nicobar Islands,1940,7,268.100
Andaman & Nicobar Islands,1940,8,889.200
Andaman & Nicobar Islands,1940,9,477.500
Andaman & Nicobar Islands,1940,10,114.100
Andaman & Nicobar Islands,1940,11,221.000
Andaman & Nicobar Islands,1940,12,318.800
Andaman & Nicobar Islands,1941,1,0.000
Andaman & Nicobar Islands,1941,2,12.800
Andaman & Nicobar Islands,1941,3,0.000
Andaman & Nicobar Islands,1941,4,77.800
Andaman & Nicobar Islands,1941,5,251.900
Andaman & Nicobar Islands,1941,6,497.000
Andaman & Nicobar Islands,1941,7,302.500
Andaman & Nicobar Islands,1941,8,311.900
Andaman & Nicobar Islands,1941,9,516.000
Andaman & Nicobar Islands,1941,10,382.800
Andaman & Nicobar Islands,1941,11,266.000
Andaman & Nicobar Islands,1941,12,279.500
Andaman & Nicobar Islands,1942,1,39.200
Andaman & Nicobar Islands,1942,2,7.400
Andaman & Nicobar Islands,1942,3,27.396
Andaman & Nicobar Islands,1942,4,43.082
Andaman & Nicobar Islands,1942,5,85.647
Andaman & Nicobar Islands,1942,6,230.048
Andaman & Nicobar Islands,1942,7,347.064
Andaman & Nicobar Islands,1942,8,289.762
Andaman & Nicobar Islands,1942,9,197.312
Andaman & Nicobar Islands,1942,10,95.315
Andaman & Nicobar Islands,1942,11,39.491
Andaman & Nicobar Islands,1942,12,18.935
Andaman & Nicobar Islands,1946,1,84.400
Andaman & Nicobar Islands,1946,2,3.600
Andaman & Nicobar Islands,1946,3,21.100
Andaman & Nicobar Islands,1946,4,135.200
Andaman & Nicobar Islands,1946,5,309.100
Andaman & Nicobar Islands,1946,6,535.900
Andaman & Nicobar Islands,1946,7,189.000
Andaman & Nicobar Islands,1946,8,367.400
Andaman & Nicobar Islands,1946,9,478.300
Andaman & Nicobar Islands,1946,10,276.900
Andaman & Nicobar Islands,1946,11,146.900
Andaman & Nicobar Islands,1946,12,243.800
Andaman & Nicobar Islands,1947,1,25.100
Andaman & Nicobar Islands,1947,2,111.100
Andaman & Nicobar Islands,1947,3,63.200
Andaman & Nicobar Islands,1947,4,127.700
Andaman & Nicobar Islands,1947,5,206.300
Andaman & Nicobar Islands,1947,6,965.600
Andaman & Nicobar Islands,1947,7,490.000
Andaman & Nicobar Islands,1947,8,293.700
Andaman & Nicobar Islands,1947,9,197.312
Andaman & Nicobar Islands,1947,10,376.000
Andaman & Nicobar Islands,1947,11,67.500
Andaman & Nicobar Islands,1947,12,168.600
Andaman & Nicobar Islands,1949,1,0.000
Andaman & Nicobar Islands,1949,2,56.400
Andaman & Nicobar Islands,1949,3,0.000
Andaman & Nicobar Islands,1949,4,166.500
Andaman & Nicobar Islands,1949,5,405.800
Andaman & Nicobar Islands,1949,6,658.400
Andaman & Nicobar Islands,1949,7,743.300
Andaman & Nicobar Islands,1949,8,404.000
Andaman & Nicobar Islands,1949,9,627.500
Andaman & Nicobar Islands,1949,10,339.600
Andaman & Nicobar Islands,1949,11,81.100
Andaman & Nicobar Islands,1949,12,7.000
Andaman & Nicobar Islands,1950,1,0.800
